Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_amputation_l""))",Chrome 73.0.3683.103,,2019-04-25 10:42:24,2019-04-25 10:42:24,0.119s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_amputation_r""))",Chrome 73.0.3683.103,,2019-04-25 10:42:24,2019-04-25 10:42:24,0.129s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_fracture_new""))",Chrome 73.0.3683.103,,2019-04-25 10:42:24,2019-04-25 10:42:24,0.161s,PASSED
"setText(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/adls_ms_fracture_location""), ""Sample Text"")",Chrome 73.0.3683.103,,2019-04-25 10:42:24,2019-04-25 10:42:25,0.395s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_character_swelling""))",Chrome 73.0.3683.103,,2019-04-25 10:42:25,2019-04-25 10:42:25,0.165s,PASSED
"setText(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_character_swelling_tf""), ""Sample Text"")",Chrome 73.0.3683.103,,2019-04-25 10:42:25,2019-04-25 10:42:25,0.384s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_character_pallor""))",Chrome 73.0.3683.103,,2019-04-25 10:42:25,2019-04-25 10:42:25,0.130s,PASSED
"setText(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_character_pallor_tf""), ""Sample Text"")",Chrome 73.0.3683.103,,2019-04-25 10:42:25,2019-04-25 10:42:26,0.402s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_character_pain""))",Chrome 73.0.3683.103,,2019-04-25 10:42:26,2019-04-25 10:42:26,0.136s,PASSED
"setText(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_character_pain_tf""), ""Sample Text"")",Chrome 73.0.3683.103,,2019-04-25 10:42:26,2019-04-25 10:42:26,0.477s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_skintemp_warm""))",Chrome 73.0.3683.103,,2019-04-25 10:42:26,2019-04-25 10:42:26,0.145s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_mobility_abletomove""))",Chrome 73.0.3683.103,,2019-04-25 10:42:26,2019-04-25 10:42:27,0.125s,PASSED
"setText(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_mobility_abletomove_tf""), ""Sample Text"")",Chrome 73.0.3683.103,,2019-04-25 10:42:27,2019-04-25 10:42:27,0.428s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_mucko_status/if_case_present/adls_cast_present_capillary_more3sec""))",Chrome 73.0.3683.103,,2019-04-25 10:42:27,2019-04-25 10:42:27,0.124s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:27,2019-04-25 10:42:28,1.001s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_functional_limitations/adls_functional_ambulation""))",Chrome 73.0.3683.103,,2019-04-25 10:42:28,2019-04-25 10:42:28,0.145s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_functional_limitations/adls_functional_endurance""))",Chrome 73.0.3683.103,,2019-04-25 10:42:28,2019-04-25 10:42:28,0.132s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_functional_limitations/adls_functional_contracture""))",Chrome 73.0.3683.103,,2019-04-25 10:42:28,2019-04-25 10:42:29,0.148s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_functional_limitations/adls_functional_paralysis""))",Chrome 73.0.3683.103,,2019-04-25 10:42:29,2019-04-25 10:42:29,0.146s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_functional_limitations/adls_functional_amputation""))",Chrome 73.0.3683.103,,2019-04-25 10:42:29,2019-04-25 10:42:29,0.151s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_functional_limitations/adls_functional_legally_blind""))",Chrome 73.0.3683.103,,2019-04-25 10:42:29,2019-04-25 10:42:29,0.150s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_functional_limitations/adls_functional_hearing""))",Chrome 73.0.3683.103,,2019-04-25 10:42:29,2019-04-25 10:42:29,0.139s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_functional_limitations/adls_functional_speech""))",Chrome 73.0.3683.103,,2019-04-25 10:42:29,2019-04-25 10:42:29,0.146s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_functional_limitations/adls_functional_dyspnea""))",Chrome 73.0.3683.103,,2019-04-25 10:42:29,2019-04-25 10:42:29,0.132s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_functional_limitations/adls_functional_bowel""))",Chrome 73.0.3683.103,,2019-04-25 10:42:29,2019-04-25 10:42:30,0.136s,PASSED
"setText(findTestObject(""OASIS/ADLs-IADLs/adls_functional_limitations/adls_functional_other""), ""Motor ability"")",Chrome 73.0.3683.103,,2019-04-25 10:42:30,2019-04-25 10:42:30,0.436s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:30,2019-04-25 10:42:31,1.003s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_activities_permitted/adls_act_permitted_independentathome""))",Chrome 73.0.3683.103,,2019-04-25 10:42:31,2019-04-25 10:42:31,0.180s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_activities_permitted/adls_act_permitted_upastolerated""))",Chrome 73.0.3683.103,,2019-04-25 10:42:31,2019-04-25 10:42:31,0.146s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_activities_permitted/adls_act_permitted_bedrest""))",Chrome 73.0.3683.103,,2019-04-25 10:42:31,2019-04-25 10:42:31,0.152s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_activities_permitted/adls_act_permitted_complete_bedrest""))",Chrome 73.0.3683.103,,2019-04-25 10:42:31,2019-04-25 10:42:32,0.161s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_activities_permitted/adls_act_permitted_transferbed""))",Chrome 73.0.3683.103,,2019-04-25 10:42:32,2019-04-25 10:42:32,0.151s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_activities_permitted/adls_act_permitted_partialweight""))",Chrome 73.0.3683.103,,2019-04-25 10:42:32,2019-04-25 10:42:32,0.151s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_activities_permitted/adls_act_permitted_walker""))",Chrome 73.0.3683.103,,2019-04-25 10:42:32,2019-04-25 10:42:32,0.131s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_activities_permitted/adls_act_permitted_wheelchair""))",Chrome 73.0.3683.103,,2019-04-25 10:42:32,2019-04-25 10:42:32,0.152s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_activities_permitted/adls_act_permitted_cane""))",Chrome 73.0.3683.103,,2019-04-25 10:42:32,2019-04-25 10:42:32,0.144s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_activities_permitted/adls_act_permitted_crutches""))",Chrome 73.0.3683.103,,2019-04-25 10:42:32,2019-04-25 10:42:33,0.137s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_activities_permitted/adls_act_permitted_norestrictions""))",Chrome 73.0.3683.103,,2019-04-25 10:42:33,2019-04-25 10:42:33,0.138s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/adls_activities_permitted/adls_act_permitted_excercises""))",Chrome 73.0.3683.103,,2019-04-25 10:42:33,2019-04-25 10:42:33,0.121s,PASSED
"setText(findTestObject(""OASIS/ADLs-IADLs/adls_activities_permitted/adls_act_permitted_other""), ""Walking"")",Chrome 73.0.3683.103,,2019-04-25 10:42:33,2019-04-25 10:42:33,0.320s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:33,2019-04-25 10:42:34,1.001s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/M1800_1""))",Chrome 73.0.3683.103,,2019-04-25 10:42:34,2019-04-25 10:42:34,0.144s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:34,2019-04-25 10:42:35,1.003s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/M1810_0""))",Chrome 73.0.3683.103,,2019-04-25 10:42:35,2019-04-25 10:42:35,0.164s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:35,2019-04-25 10:42:36,1.004s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/M1820_1""))",Chrome 73.0.3683.103,,2019-04-25 10:42:36,2019-04-25 10:42:37,0.160s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:37,2019-04-25 10:42:38,1.001s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/M1830_1""))",Chrome 73.0.3683.103,,2019-04-25 10:42:38,2019-04-25 10:42:38,0.160s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:38,2019-04-25 10:42:39,1.003s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/M1840_0""))",Chrome 73.0.3683.103,,2019-04-25 10:42:39,2019-04-25 10:42:39,0.163s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:39,2019-04-25 10:42:40,1.001s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/M1845_1""))",Chrome 73.0.3683.103,,2019-04-25 10:42:40,2019-04-25 10:42:40,0.150s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:40,2019-04-25 10:42:41,1.001s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/M1850_0""))",Chrome 73.0.3683.103,,2019-04-25 10:42:41,2019-04-25 10:42:41,0.142s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-25 10:42:41,2019-04-25 10:42:42,1.003s,PASSED
"click(findTestObject(""OASIS/ADLs-IADLs/M1860_0""))",Chrome 73.0.3683.103,,2019-04-25 10:42:42,2019-04-25 10:42:42,0.166s,PASSED
